LEA ID,LEA name,"Identified Student Percentage
(ISP)",Eligible to Participate,Near Eligible to Participate,Currently Participating in CEP,Participating and Eligible for a Grace Year,"Total Number of Schools in Participating, Eligible, and Near-Eligible LEAs",Total Student Enrollment in Participating and Eligible LEAs,Total Number of CEP Schools in the LEA,Total Student Enrollment at CEP Schools,Currently Participating in CEP District-wide,Currently Participating in CEP in One or Some Schools (Not District-wide),Comments,
010,Alamance-Burlington Schools,35.75%, ,X,X, ,35,23239,11,5811,,S,,
020,Alexander County Schools,27.59%, , , , ,0,0,,,,,,
030,Alleghany County Schools,39.73%, ,X, , ,4,1578,,,,,,
040,Anson County Schools,54.06%,X, ,X, ,10,3104,10,3104,A,,,
050,Ashe County Schools,34.56%, ,X, , ,6,2963,,,,,,
060,Avery County Schools,27.07%, , , , ,0,0,,,,,,
070,Beaufort County Schools,40.14%,X, ,X, ,14,6475,13,6216,,S,,
080,Bertie County Schools,65.34%,X, ,X, ,7,2109,7,2109,A,,,
090,Bladen County Schools,50.40%,X, ,X, ,13,4248,13,4248,A,,,
100,Brunswick County Schools,37.51%, ,X,X, ,19,12542,19,12542,A,,,
110,Buncombe County Schools,28.01%, , ,X, ,43,23309,5,1592,,S,,
111,Asheville City Schools,29.22%, , , , ,0,0,,,,,,
120,Burke County Schools,57.68%,X, , , ,26,12754,,,,,,
130,Cabarrus County Schools,21.24%, , ,X, ,40,34397,7,3690,,S,,
132,Kannapolis City Schools,45.24%,X, ,X, ,9,5643,9,5643,A,,,
140,Caldwell County Schools,33.96%, ,X,X, ,26,11402,4,425,,S,,
150,Camden County Schools,13.63%, , , , ,0,0,,,,,,
160,Carteret County Public Schools,24.22%, , ,X, ,19,8100,15,5701,,S,,
170,Caswell County Schools,46.91%,X, ,X, ,6,2362,4,1131,,S,,
180,Catawba County Schools,26.72%, , ,X, ,28,15874,1,715,,S,,
181,Hickory City Schools,38.84%, ,X,X, ,9,4163,2,706,,S,,
182,Newton Conover City Schools,32.35%, ,X, , ,7,3020,,,,,,
190,Chatham County Schools,24.32%, , , , ,0,0,,,,,,
200,Cherokee County Schools,34.75%, ,X,X, ,13,3217,7,1671,,S,,
210,Edenton/Chowan Schools,45.92%,X, , , ,4,1999,,,,,,
220,Clay County Schools,34.25%, ,X, , ,3,1343,,,,,,
230,Cleveland County Schools,49.14%,X, ,X, ,29,14484,17,5980,,S,,
240,Columbus County Schools,46.56%,X, ,X, ,17,5676,17,5676,A,,,
241,Whiteville City Schools,49.93%,X, ,X, ,4,2243,4,2243,A,,,
250,Craven County Schools,32.13%, ,X,X, ,25,13420,11,5723,,S,,
260,Cumberland County Schools,42.68%,X, ,X, ,86,50692,65,31375,,S,,
270,Currituck County Schools,16.88%, , , , ,0,0,,,,,,
280,Dare County Schools,21.28%, , , , ,0,0,,,,,,
290,Davidson County Schools,25.93%, , , , ,0,0,,,,,,
291,Lexington City Schools,56.81%,X, ,X, ,7,3126,7,3126,A,,,
292,Thomasville City Schools,65.22%,X, ,X, ,4,2312,4,2312,A,,,
298,Residential Schools,33.15%, ,X,X, ,3,184,3,184,A,,,
300,Davie County Schools,26.65%, , , , ,0,0,,,,,,
310,Duplin County Schools,34.38%, ,X,X, ,13,10174,13,10174,A,,,
320,Durham Public Schools,34.67%, ,X,X, ,53,33533,19,10350,,S,,
330,Edgecombe County Schools,49.35%,X, ,X, ,14,6113,13,5883,,S,,
340,Forsyth County Schools,34.93%, ,X,X, ,78,55607,39,22169,,S,,
350,Franklin County Schools,32.88%, ,X, , ,16,8203,,,,,,
360,Gaston County Schools,36.62%, ,X,X,X,54,31154,19,9965,,S,,
370,Gates County Schools,35.25%, ,X, , ,5,1603,,,,,,
380,Graham County Schools,5.85%, , , , ,0,0,,,,,,
390,Granville County Schools,27.73%, , , , ,0,0,,,,,,
400,Greene County Schools,50.37%,X, ,X, ,6,3004,6,3004,A,,,
410,Guilford County Schools,39.10%, ,X,X, ,124,72947,66,32452,,S,,
420,Halifax County Schools,56.42%,X, ,X, ,10,2329,10,2329,A,,,
421,Roanoke Rapids City Schools,60.25%,X, , , ,5,2853,,,,,,
422,Weldon City Schools,76.44%,X, ,X, ,4,798,4,798,A,,,
430,Harnett County Schools,33.68%, ,X,X, ,29,20290,7,3056,,S,,
440,Haywood County Schools,33.12%, ,X,X, ,15,7087,4,1523,,S,,
450,Henderson County Schools,21.49%, , , , ,0,0,,,,,,
460,Hertford County Schools,99.60%,X, ,X, ,7,2761,7,2761,A,,,
470,Hoke County Schools,37.43%, ,X,X, ,14,9418,14,9418,A,,,
480,Hyde County Schools,51.52%,X, ,X, ,2,396,2,396,A,,,
490,Iredell-Statesville Schools,18.61%, , , , ,0,0,,,,,,
491,Mooresville Graded School District,16.90%, , , , ,0,0,,,,,,
500,Jackson County Schools,31.93%, ,X,X, ,10,3683,1,87,,S,,
510,Johnston County Schools,22.61%, , ,X, ,45,37534,5,2890,,S,,
520,Jones County Schools,63.86%,X, ,X, ,5,1079,5,1079,A,,,
530,Lee County Schools,35.06%, ,X, , ,17,10153,,,,,,
540,Lenoir County Public Schools,51.21%,X, ,X, ,17,8631,17,8631,A,,,
550,Lincoln County Schools,26.94%, , ,X, ,22,11574,1,396,,S,,
560,Macon County Schools,28.84%, , ,X, ,11,4507,2,482,,S,,
570,Madison County Schools,32.47%, ,X,X, ,6,2208,1,134,,S,,
580,Martin County Schools,48.69%,X, ,X, ,9,3101,8,2850,,S,,
590,McDowell County Schools,40.93%,X, , , ,14,6540,,,,,,
600,Charlotte-Mecklenburg Schools,28.93%, , ,X, ,175,150098,68,49148,,S,,
610,Mitchell County Schools,32.15%, ,X, , ,7,1826,,,,,,
620,Montgomery County Schools,36.60%, ,X, , ,12,3839,,,,,,
630,Moore County Schools,26.70%, , , , ,0,0,,,,,,
640,Nash-Rocky Mount Schools,45.51%,X, ,X, ,29,15246,17,7609,,S,,
650,New Hanover County Schools,31.84%, ,X,X, ,45,26452,28,12015,,S,,
660,Northampton County Schools,52.24%,X, ,X, ,7,1518,7,1518,A,,,
670,Onslow County Schools,27.28%, , ,X, ,37,26870,1,138,,S,,
680,Orange County Schools,36.85%, ,X, , ,13,7511,,,,,,
681,Chapel Hill-Carrboro Schools,27.49%, , , , ,0,0,,,,,,
690,Pamlico County Schools,34.27%, ,X,X, ,4,1310,3,799,,S,,
700,Pasquotank County Schools,49.84%,X, ,X, ,13,5299,5,1594,,S,,
710,Pender County Schools,27.61%, , , , ,0,0,,,,,,
720,Perquimans County Schools,39.76%, ,X, , ,4,1665,,,,,,
730,Person County Schools,44.34%,X, ,X, ,12,4495,8,2355,,S,,
740,Pitt County Schools,41.20%,X, ,X, ,39,24183,22,10236,,S,,
750,Polk County Schools,34.48%, ,X,X, ,7,2216,3,902,,S,,
760,Randolph County Schools,32.83%, ,X,X, ,31,15920,1,404,,S,,
761,Asheboro City Schools,47.38%,X, , , ,8,4715,,,,,,
770,Richmond County Schools,52.52%,X, ,X, ,15,7192,15,7192,A,,,
780,Robeson County Schools,54.67%,X, ,X, ,36,22932,40,22696,,S,,
790,Rockingham County Schools,41.82%,X, ,X, ,23,11925,8,3673,,S,,
