LEA ID,LEA name,"Identified Student Percentage
(ISP)",Eligible to Participate,Near Eligible to Participate,Currently Participating in CEP,Participating and Eligible for a Grace Year,"Total Number of Schools in Participating, Eligible, and Near-Eligible LEAs",Total Student Enrollment in Participating and Eligible LEAs,Total Number of CEP Schools in the LEA,Total Student Enrollment at CEP Schools,Currently Participating in CEP District-wide,"Currently Participating in CEP in One or Some Schools
(Not District-wide)",Comments
10,Alamance-Burlington Schools,32.91%, ,X,X,,35,"22,468",11,"5,603", ,S,
20,Alexander County Schools,34.35%,,X, ,,11,"4,775", ,, , ,
30,Alleghany County Schools,41.14%,X, , ,,4,"1,456", , , , ,
40,Anson County Schools,59.85%,X, ,X,,9,"2,914",9,"2,914",A, ,
50,Ashe County Schools,35.57%, ,X, ,,6,"2,651", , , , ,
60,Avery County Schools,29.18%, , , ,,0,0, , , , ,
70,Beaufort County Schools,46.70%,X, ,X,,14,"5,916",13,"5,650", ,S,
80,Bertie County Schools,62.28%,X, ,X,,7,"1,890",7,"1,890",A, ,
90,Bladen County Schools,53.33%,X, ,X,,13,"3,964",13,"3,964",A, ,
100,Brunswick County Schools,37.03%, ,X,X,,20,"12,707",20,"12,707",A, ,
110,Buncombe County Schools,30.48%, ,X,X,,43,"21,611",6,"1,423", ,S,
111,Asheville City Schools,28.23%, , , ,,0,0, , , , ,
120,Burke County Schools,33.41%, ,X, ,,26,"11,716", , , , ,
130,Cabarrus County Schools,24.84%, , ,X,,45,"34,409",5,"2,486", ,S,
132,Kannapolis City Schools,58.42%,X, ,X,,9,"5,579",9,"5,579",A, ,
140,Caldwell County Schools,34.70%, ,X,X,,24,"10,670",5,577, ,S,
150,Camden County Schools,13.99%, , , ,,0,0, , , , ,
160,Carteret County Public Schools,21.85%, , ,X,,19,"7,982",15,"5,457", ,S,
170,Caswell County Schools,52.49%,X, ,X,,6,"2,065",4,935, ,S,
180,Catawba County Schools,28.39%, , , ,,0,0, , , , ,
181,Hickory City Schools,43.31%,X, ,X,,9,"3,907",2,645, ,S,
