LEA ID,LEA name,Identified Student Percentage (ISP),Eligible to Participate,Near Eligible to Participate,Currently Participating in CEP,Participating and Eligible for a Grace Year,"Total Number of Schools in Participating, Eligible, and Near-Eligible LEAs",Total Student Enrollment in Participating and Eligible LEAs,Total Number of CEP Schools in the LEA,Total Student Enrollment at CEP Schools,Currently Participating in CEP District-wide,Currently Participating in CEP in One or Some Schools (Not District-wide),Comments,
010,Alamance-Burlington Schools,52.27%,X, ,X, ,36,22499,16,7990,,S,,
020,Alexander County Schools,50.61%,X, ,X, ,11,4501,11,4501,A,,,
030,Alleghany County Schools,65.14%,X, , , ,4,1466,,,,,,
040,Anson County Schools,76.98%,X, ,X, ,9,2924,9,2924,A,,,
050,Ashe County Schools,55.62%,X, ,X, ,6,2679,6,2679,A,,,
060,Avery County Schools,53.62%,X, ,X, ,8,1863,8,1863,A,,,
06B,Marjorie Williams Academy,91.96%,X, ,X, ,1,112,1,112,A,,,
070,Beaufort County Schools,67.87%,X, ,X, ,13,5730,13,5730,A,,,
080,Bertie County Schools,79.72%,X, ,X, ,7,1775,7,1775,A,,,
090,Bladen County Schools,69.58%,X, ,X, ,13,4021,13,4021,A,,,
09A,Paul R. Brown Leadership Academy,100.00%,X, ,X, ,1,171,1,171,A,,,
100,Brunswick County Schools,56.18%,X, ,X, ,20,13260,20,13260,A,,,
1002,Camp Lejeune Schools,28.97%,X, , , ,7,2706,,,,,,
1007,Fort Liberty Schools,2.80%, , , , ,0,0,,,,,,
1095,Trinity Christian School,49.71%,X, ,X, ,1,523,1,523,A,,,
1099,Greensboro Islamic Academy,77.96%,X, ,X, ,1,245,1,245,A,,,
110,Buncombe County Schools,42.92%,X, ,X, ,43,21814,43,21814,A,,,
111,Asheville City Schools,39.46%,X, , , ,10,3981,,,,,,
11A,Evergreen Community Charter School,30.28%,X, , , ,1,436,,,,,,
120,Burke County Schools,53.83%,X, ,X, ,26,11759,25,11628,,S,,
130,Cabarrus County Schools,37.81%,X, ,X, ,45,35902,11,5976,,S,,
132,Kannapolis City Schools,63.61%,X, ,X, ,9,5587,9,5587,A,,,
13B,Valor Preparatory Academy,52.21%,X, , , ,2,747,,,,,,
13C,A.C.E. Academy,63.55%,X, ,X, ,1,428,1,428,A,,,
13D,Concord Lake STEAM Academy,63.72%,X, , , ,1,656,,,,,,
140,Caldwell County Schools,58.18%,X, ,X, ,24,10568,22,9962,,S,,
150,Camden County Schools,21.68%, ,X, , ,5,1896,,,,,,
160,Carteret County Public Schools,40.61%,X, , , ,19,7993,,,,,,
170,Caswell County Schools,72.76%,X, ,X, ,6,2107,6,2107,A,,,
180,Catawba County Schools,48.50%,X, ,X, ,28,15898,6,2432,,S,,
181,Hickory City Schools,61.00%,X, ,X, ,9,3782,9,3782,A,,,
182,Newton Conover City Schools,54.48%,X, ,X, ,7,2645,4,1235,,S,,
190,Chatham County Schools,41.07%,X, , , ,20,9167,,,,,,
19A,Chatham Charter School,26.47%,X, , , ,1,578,,,,,,
200,Cherokee County Schools,61.92%,X, ,X, ,13,3083,13,3083,A,,,
210,Edenton/Chowan Schools,69.11%,X, ,X, ,4,1816,4,1816,A,,,
220,Clay County Schools,52.25%,X, , , ,4,1309,,,,,,
230,Cleveland County Schools,66.68%,X, ,X, ,27,14204,27,14204,A,,,
240,Columbus County Schools,65.28%,X, ,X, ,12,5296,12,5296,A,,,
241,Whiteville City Schools,65.07%,X, ,X, ,4,2050,4,2050,A,,,
24N,Classical Charter Schools of Whiteville,68.37%,X, ,X, ,1,822,1,822,A,,,
250,Craven County Schools,48.99%,X, ,X, ,25,12436,16,6987,,S,,
260,Cumberland County Schools,56.85%,X, ,X, ,83,48515,62,30111,,S,,
26B,Alpha Academy,0.00%, , , , ,0,0,,,,,Information not provided by SFA,
26C,Capitol Encore Academy,76.18%,X, ,X, ,1,743,1,743,A,,,
270,Currituck County Schools,0.00%, , , , ,0,0,,,,,Information not provided by SFA,
280,Dare County Schools,36.26%,X, ,X, ,11,5036,1,32,,S,,
290,Davidson County Schools,49.09%,X, ,X, ,35,17606,16,5907,,S,,
291,Lexington City Schools,75.86%,X, ,X, ,7,3032,7,3032,A,,,
292,Thomasville City Schools,71.17%,X, ,X, ,4,2199,4,2199,A,,,
298,Residential Schools,74.83%,X, ,X, ,3,151,3,151,A,,,
300,Davie County Schools,51.94%,X, , , ,12,6207,,,,,,
310,Duplin County Schools,67.99%,X, ,X, ,13,9884,13,9884,A,,,
320,Durham Public Schools,49.39%,X, ,X, ,53,31833,28,14640,,S,,
32A,Maureen Joy Charter,75.70%,X, ,X, ,1,605,1,605,A,,,
32B,Durham Charter School,73.21%,X, ,X, ,2,754,2,754,A,,,
32C,Community School of Digital and Visual Arts (CSDVA),89.20%,X, ,X, ,1,176,1,176,A,,,
32D,Kestrel Heights Charter School,46.59%,X, , , ,1,440,,,,,,
32H,Research Triangle Charter,59.67%,X, , , ,1,719,,,,,,
32K,Central Park School for Children,30.85%,X, , , ,1,590,,,,,,
32L,Voyager Academy,23.22%, ,X, , ,1,1335,,,,,,
32M,Global Scholars Academy,63.08%,X, ,X, ,1,195,1,195,A,,,
32S,KIPP Durham College Preparatory,61.94%,X, ,X, ,1,360,1,360,A,,,
330,Edgecombe County Schools,75.60%,X, ,X, ,15,5320,16,5320,,S,,
33A,North East Carolina Preparatory School,65.17%,X, ,X, ,1,1022,1,1022,A,,,
340,Forsyth County Schools,57.06%,X, ,X, ,79,52577,64,39746,,S,,
34B,Quality Education Academy,92.67%,X, ,X, ,1,641,1,641,A,,,
34D,Carter G. Woodson School,88.38%,X, ,X, ,1,482,1,482,A,,,
34F,Forsyth Academy,78.12%,X, ,X, ,1,722,1,722,A,,,
350,Franklin County Schools,58.53%,X, ,X, ,16,7989,16,7989,A,,,
360,Gaston County Schools,54.35%,X, ,X, ,55,30066,40,20906,,S,,
36C,Mountain Island Charter School,11.65%, , , , ,0,0,,,,,,
36F,Ridgeview Charter School,80.00%,X, ,X, ,1,270,1,270,A,,,
370,Gates County Schools,45.42%,X, , , ,5,1431,,,,,,
380,Graham County Schools,68.16%,X, ,X, ,3,1096,3,1096,A,,,
390,Granville County Schools,55.62%,X, ,X, ,17,6559,14,6135,,S,,
400,Greene County Schools,71.18%,X, ,X, ,6,2828,6,2828,A,,,
410,Guilford County Schools,57.15%,X, ,X, ,126,68221,94,48890,,S,,
41C,Guilford Preparatory,82.02%,X, ,X, ,1,584,1,584,A,,,
41F,Triad Math & Science Academy,61.21%,X, ,X, ,1,1271,1,1271,A,,,
41H,The College Preparatory and Leadership Academy of High Point,79.54%,X, ,X, ,1,826,1,826,A,,,
41J,Summerfield Charter Academy,13.28%, , , , ,0,0,,,,,,
41L,Gate City Charter Academy,73.89%,X, ,X, ,1,678,1,678,A,,,
41M,Next Generation Academy,85.57%,X, ,X, ,1,409,1,409,A,,,
41N,The Experiential School of Greensboro,41.73%,X, , , ,1,254,,,,,,
41R,Summit Creek Academy,59.78%,X, ,X, ,1,644,1,644,A,,,
420,Halifax County Schools,83.95%,X, ,X, ,11,2174,11,2174,A,,,
421,Roanoke Rapids City Schools,69.51%,X, ,X, ,5,2755,5,2755,A,,,
422,Weldon City Schools,75.35%,X, ,X, ,4,722,4,722,A,,,
42A,KIPP - Halifax College Preparatory,77.09%,X, ,X, ,1,550,1,550,A,,,
430,Harnett County Schools,48.92%,X, ,X, ,28,19665,15,8869,,S,,
440,Haywood County Schools,54.68%,X, ,X, ,15,6512,15,6512,A,,,
450,Henderson County Schools,41.59%,X, ,X, ,23,12622,23,12622,A,,,
460,Hertford County Schools,82.38%,X, ,X, ,7,2423,7,2423,A,,,
470,Hoke County Schools,51.60%,X, ,X, ,14,8734,14,8734,A,,,
480,Hyde County Schools,69.52%,X, ,X, ,1,292,1,292,A,,,
490,Iredell-Statesville Schools,34.83%,X, ,X, ,36,20751,23,11232,,S,,
491,Mooresville Graded School District,35.37%,X, , , ,8,5906,,,,,,
49B,American Renaissance Middle School,51.55%,X, , , ,1,809,,,,,,
49D,Success Institute Charter,96.63%,X, ,X, ,1,89,1,89,A,,,
49F,Langtree Charter Academy,24.89%, ,X, , ,2,1527,,,,,,
49G,Iredell Charter Academy of Arts & Science,43.35%,X, , , ,1,699,,,,,,
500,Jackson County Schools,48.25%,X, ,X, ,10,3513,5,1304,,S,,
510,Johnston County Schools,39.41%,X, ,X, ,48,37540,43,30170,,S,,
51B,Johnston Charter Academy,38.16%,X, , , ,1,718,,,,,,
520,Jones County Schools,72.32%,X, ,X, ,5,1062,5,1062,A,,,
530,Lee County Schools,55.00%,X, ,X, ,17,9321,10,4023,,S,,
53C,MINA Charter School of Lee County,56.08%,X, ,X, ,1,362,1,362,A,,,
53D,Central Carolina Academy,28.40%,X, , , ,1,419,,,,,,
540,Lenoir County Public Schools,67.94%,X, ,X, ,17,8324,17,8324,A,,,
54A,Children's Village Academy,92.96%,X, ,X, ,1,142,1,142,A,,,
550,Lincoln County Schools,40.77%,X, ,X, ,22,11733,13,5566,,S,,
55B,West Lake Preparatory Academy,42.42%,X, , , ,1,356,,,,,,
560,Macon County Schools,47.72%,X, ,X, ,11,4415,9,3124,,S,,
570,Madison County Schools,51.55%,X, ,X, ,7,2070,7,2070,A,,,
580,Martin County Schools,70.55%,X, ,X, ,9,2645,9,2645,A,,,
590,McDowell County Schools,59.18%,X, ,X, ,14,6083,14,6083,A,,,
600,Charlotte-Mecklenburg Schools,43.07%,X, ,X, ,184,145327,114,81124,,S,,
60B,Sugar Creek Charter,66.05%,X, ,X, ,2,1458,2,1458,A,,,
60G,Queen's Grant Community,34.24%,X, , , ,1,771,,,,,,
60L,KIPP Charlotte,74.29%,X, ,X, ,2,875,2,875,A,,,
60N,American Leadership Academy Charlotte,93.65%,X, ,X, ,1,126,1,126,A,,,
610,Mitchell County Schools,53.03%,X, ,X, ,7,1718,7,1718,A,,,
61M,Charlotte Lab School,42.22%,X, , , ,1,1080,,,,,,
61N,The Math and Science Academy of Charlotte,44.53%,X, ,X, ,2,667,2,667,A,,,
61Q,Mallard Creek STEM Academy,53.36%,X, ,X, ,1,922,1,922,A,,,
61R,Matthew's Charter Academy,40.08%,X, , , ,1,751,,,,,,
61T,Movement Charter School,90.59%,X, ,X, ,1,712,1,712,A,,,
61Y,Steele Creek Preparatory Academy,67.02%,X, ,X, ,1,379,1,379,A,,,
620,Montgomery County Schools,59.29%,X, ,X, ,11,3658,11,3658,A,,,
62J,Southwest Charlotte STEM Academy,44.35%,X, ,X, ,1,796,1,796,A,,,
62K,Movement School Eastland,85.25%,X, ,X, ,1,461,1,461,A,,,
62L,Telra Institute,6.14%, , , , ,0,0,,,,,,
62P,Movement School Southwest,89.66%,X, ,X, ,1,203,1,203,A,,,
62R,Movement School Northwest,71.72%,X, , , ,1,99,,,,,,
630,Moore County Schools,38.19%,X, ,X, ,22,13705,11,4859,,S,,
640,Nash County Public Schools,59.26%,X, ,X, ,27,14590,18,7728,,S,,
64A,Rocky Mount Preparatory,75.00%,X, ,X, ,1,840,1,840,A,,,
650,New Hanover County Schools,43.32%,X, ,X, ,46,25764,30,14114,,S,,
65C,Classical Charter Schools of Wilmington,100.00%,X, ,X, ,1,132,1,132,A,,,
65G,Girls Leadership Academy of Wilmington,53.40%,X, ,X, ,1,324,1,324,A,,,
