LEA ID,LEA name,"Identified Student Percentage
(ISP)",Eligible to Participate,Near Eligible to Participate,Currently Participating in CEP,Participating and Eligible for a Grace Year,"Total Number of Schools in Participating, Eligible, and Near-Eligible LEAs",Total Student Enrollment in Participating and Eligible LEAs,Total Number of CEP Schools in the LEA,Total Student Enrollment at CEP Schools,Currently Participating in CEP District-wide,Currently Participating in CEP in One or Some Schools (Not District-wide),Comments,
010,Alamance-Burlington Schools,53.53%,X, ,X, ,35,21765,11,5070,,S,,
020,Alexander County Schools,50.61%,X, , , ,11,4501,,,,,,
030,Alleghany County Schools,51.79%,X, , , ,4,1483,,,,,,
040,Anson County Schools,72.93%,X, ,X, ,9,2937,9,2937,A,,,
050,Ashe County Schools,50.68%,X, , , ,6,2719,,,,,,
060,Avery County Schools,52.53%,X, , , ,8,1896,,,,,,
06B,Marjorie Williams Academy,89.89%,X, ,X, ,1,89,1,89,A,,,
070,Beaufort County Schools,60.21%,X, ,X, ,14,5964,13,5701,,S,,
080,Bertie County Schools,75.45%,X, ,X, ,7,1906,7,1906,A,,,
090,Bladen County Schools,65.91%,X, ,X, ,13,3972,13,3972,A,,,
09A,Paul R. Brown Leadership Academy,79.01%,X, , , ,1,162,,,,,,
100,Brunswick County Schools,50.01%,X, ,X, ,20,12905,20,12905,A,,,
1002,Camp Lejeune Schools,2.54%, , , , ,0,0,,,,,,
1007,Fort Bragg,2.71%, , , , ,0,0,,,,,,
1026,NC Tarheel Challenge Academy,48.08%,X, , , ,1,52,,,,,,
1027,Tarheel Challenge Academy New London,69.74%,X, , , ,1,228,,,,,,
1095,Trinity Christian School,73.62%,X, ,X, ,1,489,1,489,A,,,
1099,Greensboro Islamic Academy,74.63%,X, , , ,1,201,,,,,,
110,Buncombe County Schools,62.04%,X, ,X, ,43,21964,6,1695,,S,,
111,Asheville City Schools,43.59%,X, , , ,11,4093,,,,,,
120,Burke County Schools,56.66%,X, , , ,26,11856,,,,,,
130,Cabarrus County Schools,34.33%, ,X,X, ,45,35528,5,2619,,S,,
132,Kannapolis City Schools,62.03%,X, ,X, ,9,5633,9,5633,A,,,
13B,Cabarrus Charter Academy,48.66%,X, , , ,2,670,,,,,,
13C,A.C.E. Academy,63.73%,X, , , ,1,386,,,,,,
13D,Concord Lake STEAM Academy,55.27%,X, , , ,1,579,,,,,,
140,Caldwell County Schools,56.80%,X, ,X, ,25,10757,5,706,,S,,
150,Camden County Schools,21.92%, , , , ,0,0,,,,,,
160,Carteret County Public Schools,37.31%, ,X,X,X,19,8075,15,5484,,S,,
170,Caswell County Schools,65.35%,X, ,X, ,6,2234,4,1077,,S,,
180,Catawba County Schools,44.11%,X, , , ,28,15632,,,,,,
181,Hickory City Schools,57.30%,X, ,X, ,9,3843,2,631,,S,,
182,Newton Conover City Schools,50.70%,X, , , ,7,2840,,,,,,
190,Chatham County Schools,32.40%, ,X, , ,19,9350,,,,,,
19A,Chatham Charter School,23.02%, , , , ,0,0,,,,,,
200,Cherokee County Schools,55.64%,X, ,X, ,13,3165,7,1690,,S,,
210,Edenton/Chowan Schools,60.39%,X, , , ,4,1876,,,,,,
220,Clay County Schools,53.62%,X, , , ,4,1283,,,,,,
230,Cleveland County Schools,64.48%,X, ,X, ,27,14222,15,4675,,S,,
240,Columbus County Schools,65.28%,X, ,X, ,13,5296,15,5296,,S,,
241,Whiteville City Schools,62.78%,X, ,X, ,4,2077,4,2077,A,,,
