lea_id,lea_name,identified_student_percentage_isp,eligible_to_participate,near_eligible_to_participate,currently_participating_in_cep,participating_and_eligible_for_a_grace_year,total_number_of_schools_in_participating_eligible_and_near_eligible_le_as,total_student_enrollment_in_participating_and_eligible_le_as,total_number_of_cep_schools_in_the_lea,total_student_enrollment_at_cep_schools,currently_participating_in_cep_district_wide,currently_participating_in_cep_in_one_or_some_schools_not_district_wide,year,participation_type
010,Alamance-Burlington Schools,36.98,NA,X,X,NA,35,23036,10,5613,NA,S,2019,Some Schools
020,Alexander County Schools,26.31,NA,NA,X,NA,11,5074,1,279,NA,S,2019,Some Schools
030,Alleghany County Schools,42.96,X,NA,NA,NA,4,1471,NA,NA,NA,NA,2019,Not Participating
040,Anson County Schools,57.03,X,NA,X,NA,10,3140,10,3140,A,NA,2019,District Wide
050,Ashe County Schools,35.96,NA,X,NA,NA,6,3014,NA,NA,NA,NA,2019,Not Participating
060,Avery County Schools,27.58,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
070,Beaufort County Schools,57.16,X,NA,X,NA,14,6516,13,6253,NA,S,2019,Some Schools
080,Bertie County Schools,59.13,X,NA,X,NA,7,2222,7,2222,A,NA,2019,District Wide
090,Bladen County Schools,76.69,X,NA,X,NA,13,4342,13,4342,A,NA,2019,District Wide
100,Brunswick County Schools,58.11,X,NA,NA,NA,19,12490,NA,NA,NA,NA,2019,Not Participating
110,Buncombe County Schools,29.9,NA,NA,X,NA,43,23444,5,1589,NA,S,2019,Some Schools
111,Asheville City Schools,27.41,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
120,Burke County Schools,34.28,NA,X,NA,NA,26,12313,NA,NA,NA,NA,2019,Not Participating
130,Cabarrus County Schools,22.08,NA,NA,X,NA,40,33672,7,3784,NA,S,2019,Some Schools
132,Kannapolis City Schools,42.53,X,NA,X,NA,9,5596,9,5596,A,NA,2019,District Wide
140,Caldwell County Schools,35.45,NA,X,X,NA,26,11704,6,1236,NA,S,2019,Some Schools
150,Camden County Schools,14.12,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
160,Carteret County Public Schools,54.18,X,NA,NA,NA,19,8093,NA,NA,NA,NA,2019,Not Participating
170,Caswell County Schools,48.97,X,NA,X,NA,6,2487,4,1184,NA,S,2019,Some Schools
180,Catawba County Schools,26.83,NA,NA,X,NA,28,15896,1,677,NA,S,2019,Some Schools
181,Hickory City Schools,39.75,NA,X,X,NA,9,4155,2,676,NA,S,2019,Some Schools
182,Newton Conover City Schools,32.77,NA,X,NA,NA,7,3066,NA,NA,NA,NA,2019,Not Participating
190,Chatham County Schools,26.88,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
200,Cherokee County Schools,37.52,NA,X,X,NA,13,3099,7,1544,NA,S,2019,Some Schools
210,Edenton/Chowan Schools,43.24,X,NA,NA,NA,4,1924,NA,NA,NA,NA,2019,Not Participating
220,Clay County Schools,38.03,NA,X,NA,NA,3,1412,NA,NA,NA,NA,2019,Not Participating
230,Cleveland County Schools,48.1,X,NA,X,NA,29,14677,17,6060,NA,S,2019,Some Schools
240,Columbus County Schools,72.21,X,NA,X,NA,18,5812,18,5812,A,NA,2019,District Wide
241,Whiteville City Schools,73.86,X,NA,X,NA,4,2261,4,2261,A,NA,2019,District Wide
250,Craven County Schools,47.39,X,NA,X,NA,25,13591,4,1406,NA,S,2019,Some Schools
260,Cumberland County Schools,54.77,X,NA,X,NA,86,50509,56,26621,NA,S,2019,Some Schools
270,Currituck County Schools,18.02,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
280,Dare County Schools,20.71,NA,NA,X,NA,11,5224,1,29,NA,S,2019,Some Schools
290,Davidson County Schools,25.94,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
291,Lexington City Schools,59.55,X,NA,X,NA,7,3083,7,3083,A,NA,2019,District Wide
292,Thomasville City Schools,62.67,X,NA,X,NA,4,2320,4,2320,A,NA,2019,District Wide
298,Residential Schools,43.78,X,NA,X,NA,3,201,1,61,NA,S,2019,Some Schools
